,brand,generic_text,year,mileage,color,plate,price,location,model,transmission,fuel,converted_mileage
296,Toyota,"Hiace Commuter 3.0, M/T, DSL (For Hire)",2019,150T,White,NEC 5384 (VIRTUAL PLATE) / CS# P1 R104 (WITHOUT PLATES),576000,MOA - PASAY,Hiace Commuter 3.0,manual,dsl,150000
297,Toyota,"Hiace Commuter 3.0L, M/T, DSL",2017,115T,White,NDD 7974,751000,"Howmart, QC",Hiace Commuter 3.0L,manual,dsl,115000
298,Toyota,"Hilux Conquest 4x2 2.4, A/T, DSL",2019,45T,Freedom White,NBE 9629,1028000,"Howmart, QC",Hilux Conquest 4x2 2.4,automatic,dsl,45000
299,Toyota,"Hilux Conquest 4x2 2.4, A/T, DSL",2021,55T,Freedom White,GAU 4256,1065000,MOA - PASAY,Hilux Conquest 4x2 2.4,automatic,dsl,55000
300,Toyota,"Hilux Conquest 4x4 2.8, M/T, DSL",2020,44T,Freedom White,GAN 4818,1428000,"Bolilao, Iloilo",Hilux Conquest 4x4 2.8,manual,dsl,44000
301,Toyota,"Hilux Conquest 4x4 2.8L, M/T, DSL",2019,159T,Freedom White,GAO 3018,1215000,Bacolod,Hilux Conquest 4x4 2.8L,manual,dsl,159000
302,Toyota,"Hilux Conquest 4x4 2.8L, M/T, DSL",2019,179T,Attitude Black Mica,EAB 9340,1220000,"Gateway Bus Park, Gen. Trias, Cavite",Hilux Conquest 4x4 2.8L,manual,dsl,179000
303,Toyota,"Hilux G 4x2 2.4, M/T, DSL",2019,72T,Orange Metallic,NBO 2245,837000,Panabo City,Hilux G 4x2 2.4,manual,dsl,72000
304,Toyota,"Hilux G 4x2 2.4L, M/T, DSL",2020,27T,Gray Metallic,NGD 6447,1039000,MOA - PASAY,Hilux G 4x2 2.4L,manual,dsl,27000
305,Toyota,"Innova 2.8 E, A/T, DSL",2019,21T,Blackish Red Mica,NDK 8261,842000,MOA - PASAY,Innova 2.8 E,automatic,dsl,21000
306,Toyota,"Innova 2.8 E, A/T, DSL",2019,23T,Red Mica Metallic,NDO 5082,831000,"Gateway Bus Park, Gen. Trias, Cavite",Innova 2.8 E,automatic,dsl,23000
307,Toyota,"Innova 2.8 E, M/T, DSL",2020,33T,Thermalyte,GAN 7430,879000,"Bolilao, Iloilo",Innova 2.8 E,manual,dsl,33000
308,Toyota,"Innova 2.8 E, M/T, DSL",2020,120T,Blackish Red Mica,NGF 1172,815000,"Gateway Bus Park, Gen. Trias, Cavite",Innova 2.8 E,manual,dsl,120000
309,Toyota,"Rav 4 4x2 2.5L, A/T, Gas",2014,48T,White Pearl,AAM 7408,506000,MOA - PASAY,Rav 4 4x2 2.5L,automatic,gas,48000
310,Toyota,"Vios 1.3 E, A/T, Gas",2018,77T,Blackish Red Mica,GAJ 3263,357000,Bacolod,Vios 1.3 E,automatic,gas,77000
