Item,,,,,Conduction,,,
"",Location,Year,Make / Model,Plate #,,Color,Mileage,Minimun Bid Price
No.,,,,,Sticker No.,,,
1106,SANFORD,2013,,HBF896,MK1620,,"101,827","386,750.00"
"",,,MT,,,GRAY,,
1107,AXIS TOWER,2023,Hyundai H100 2.5 crdi 6mt shuttle with ac,,K2Z754,WHITE,"26,585","803,250.00"
"",,,HYUNDAI H100 2.5 CRDI GL 6MT PE SHUTTLE,,,,,
1108,ENTRATA,2020,,NGB5484,K1S629,CREAMY WHITE,"179,277","530,000.00"
"",,,BODY,,,,,
"",,,HYUNDAI H100 2.5 CRDI GL 6MT SHUTTLE BODY,,,,,
1109,AXIS TOWER,2020,,NEC1248,K0W369,CREAMY WHITE,"40,724","642,000.00"
"",,,W/,,,,,
1110,ENTRATA,2023,HYUNDAI H100 2.5 CRDI GL 6MT W/ DUAL AC,DBI1623,K2Z191,WHITE,"6,100","712,400.00"
1111,MARCELO GREEN,2019,HYUNDAI H100 2.5 CRDI GL W/ DUAL AC 6MT W/ SH,CAN8149,K0K108,CREAMY WHITE,"74,568","458,150.00"
"",,,HYUNDAI H100 2.5 CRDI GL W/DUAL AC MT,,,,,
1112,SANFORD,2019,,,K0S079,CREAMY WHITE,unavailable,"398,400.00"
"",,,W/SB&EW,,,,,
1113,PROMENADE,2020,HYUNDAI H100 2.5 CRDi W/DUAL AC,DAX1079,K1F854,CREAMY WHITE,"281,087","289,200.00"
"",,,,,,WHITE/CREAMY,,
1114,AXIS TOWER,2019,HYUNDAI H100 2.5CRDI,NEA8492,KO1103,,"67,800","459,000.00"
"",,,,,,WHITE,,
1115,SANFORD,2017,HYUNDAI H100 2.6 GL SHUTTLE BODY W/AC,IAB6063,MT4075,CREAMY WHITE,unavailable,"324,000.00"
1116,AXIS TOWER,2016,HYUNDAI H100 2.6L FL MT PANAROMIC,,MO8139,CREAMY WHITE,"180,902","238,550.00"
1117,STA. MARIA,2018,Hyundai H100 2.6L FL Shuttle DSL MT w/Dual Aircon,NCU9766,MV0615,CREAMY WHITE,"222,386","312,750.00"
"",,,HYUNDAI H100 2.6L SHUTTLE BODY W/ DUAL AC,,,,,
1118,MARCELO GREEN,2018,,CAL2501,MT9146,WHITE,"82,790","319,800.00"
"",,,MT,,,,,
"",,,HYUNDAI H100 2.6L SHUTTLE VAN W/DUAL,,,,,
1119,MARCELO GREEN,2018,,NBP5205,MU6281,CREAMY WHITE,"49,130","469,600.00"
"",,,AIRCON F,,,,,
1120,AXIS TOWER,2023,HYUNDAI H100 SHUTTLE 2.5 CRDI GL WITH,NIH3708,K2W094,WHITE,"16,811","765,100.00"
1121,THE SIGNATURE,2020,HYUNDAI H100 SHUTTLE 2.5 CRDI GL WITH,CBC2210,,CREAMY WHITE,"100,140","387,800.00"
"",,,HYUNDAI H100 SHUTTLE 2.5 CRDI GL6MTW/ DUAL,,,,,
1122,PROMENADE,2023,,CBK9411,K2X229,WHITE,"38,592","1,075,000.00"
"",,,AC,,,,,
"",,,HYUNDAI H-100 SHUTTLE 2.5L CRDI W DUAL AC,,,,,
1123,ENTRATA,2019,,NBQ7648,K0J426,CREAMY WHITE,"46,934","529,200.00"
"",,,MT,,,,,
